"name","path_id","path_desc"
"aaaD","NA","NA"
"aaaE","NA","NA"
"aaeA","NA","NA"
"aaeB","NA","NA"
"aaeR","NA","NA"
"aaeX","NA","NA"
"aas","eco00071","Fatty acid degradation"
"aas","eco00564","Glycerophospholipid metabolism"
"aat","NA","NA"
"abgA","NA","NA"
"abgB","NA","NA"
"abgR","NA","NA"
"abgT","NA","NA"
"abrB","NA","NA"
"accA","eco00061","Fatty acid biosynthesis"
"accA","eco00620","Pyruvate metabolism"
"accA","eco00640","Propanoate metabolism"
"accA","eco01100","Metabolic pathways"
"accA","eco01110","Biosynthesis of secondary metabolites"
"accA","eco01120","Microbial metabolism in diverse environments"
"accA","eco01200","Carbon metabolism"
"accA","eco01212","Fatty acid metabolism"
"accB","eco00061","Fatty acid biosynthesis"
"accB","eco00620","Pyruvate metabolism"
"accB","eco00640","Propanoate metabolism"
"accB","eco01100","Metabolic pathways"
"accB","eco01110","Biosynthesis of secondary metabolites"
"accB","eco01120","Microbial metabolism in diverse environments"
"accB","eco01200","Carbon metabolism"
"accB","eco01212","Fatty acid metabolism"
"accC","eco00061","Fatty acid biosynthesis"
"accC","eco00620","Pyruvate metabolism"
"accC","eco00640","Propanoate metabolism"
"accC","eco01100","Metabolic pathways"
"accC","eco01110","Biosynthesis of secondary metabolites"
"accC","eco01120","Microbial metabolism in diverse environments"
"accC","eco01200","Carbon metabolism"
"accC","eco01212","Fatty acid metabolism"
"accD","eco00061","Fatty acid biosynthesis"
"accD","eco00620","Pyruvate metabolism"
"accD","eco00640","Propanoate metabolism"
"accD","eco01100","Metabolic pathways"
"accD","eco01110","Biosynthesis of secondary metabolites"
"accD","eco01120","Microbial metabolism in diverse environments"
"accD","eco01200","Carbon metabolism"
"accD","eco01212","Fatty acid metabolism"
"aceA","eco00630","Glyoxylate and dicarboxylate metabolism"
"aceA","eco01100","Metabolic pathways"
"aceA","eco01120","Microbial metabolism in diverse environments"
"aceA","eco01200","Carbon metabolism"
"aceB","eco00620","Pyruvate metabolism"
"aceB","eco00630","Glyoxylate and dicarboxylate metabolism"
"aceB","eco01100","Metabolic pathways"
"aceB","eco01120","Microbial metabolism in diverse environments"
"aceB","eco01200","Carbon metabolism"
"aceE","eco00010","Glycolysis / Gluconeogenesis"
"aceE","eco00020","Citrate cycle (TCA cycle)"
"aceE","eco00620","Pyruvate metabolism"
"aceE","eco01100","Metabolic pathways"
"aceE","eco01110","Biosynthesis of secondary metabolites"
"aceE","eco01120","Microbial metabolism in diverse environments"
"aceE","eco01200","Carbon metabolism"
"aceF","eco00010","Glycolysis / Gluconeogenesis"
"aceF","eco00020","Citrate cycle (TCA cycle)"
"aceF","eco00620","Pyruvate metabolism"
"aceF","eco01100","Metabolic pathways"
"aceF","eco01110","Biosynthesis of secondary metabolites"
"aceF","eco01120","Microbial metabolism in diverse environments"
"aceF","eco01200","Carbon metabolism"
"aceK","NA","NA"
"ackA","eco00430","Taurine and hypotaurine metabolism"
"ackA","eco00620","Pyruvate metabolism"
"ackA","eco00640","Propanoate metabolism"
"ackA","eco00680","Methane metabolism"
"ackA","eco01100","Metabolic pathways"
"ackA","eco01120","Microbial metabolism in diverse environments"
"ackA","eco01200","Carbon metabolism"
"acnA","eco00020","Citrate cycle (TCA cycle)"
"acnA","eco00630","Glyoxylate and dicarboxylate metabolism"
"acnA","eco01100","Metabolic pathways"
"acnA","eco01110","Biosynthesis of secondary metabolites"
"acnA","eco01120","Microbial metabolism in diverse environments"
"acnA","eco01200","Carbon metabolism"
"acnA","eco01210","2-Oxocarboxylic acid metabolism"
"acnA","eco01230","Biosynthesis of amino acids"
"acnB","eco00020","Citrate cycle (TCA cycle)"
"acnB","eco00630","Glyoxylate and dicarboxylate metabolism"
