"Name","cluster","gene_description"
"aaaD","turquoise","pseudogene"
"aaaE","turquoise","pseudogene"
"aaeA","blue","p-hydroxybenzoic acid efflux system component  K15548 p-hydroxybenzoic acid efflux pump subunit AaeA"
"aaeB","brown","p-hydroxybenzoic acid efflux system component  K03468 p-hydroxybenzoic acid efflux pump subunit AaeB"
"aaeR","green","transcriptional regulator for aaeXAB operon"
"aaeX","grey","membrane protein of efflux system"
"aas","blue","fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase (EC:2.3.1.40 6.2.1.20)  K05939 acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]"
"abgA","turquoise","p-aminobenzoyl-glutamate hydrolase  A subunit (EC:3.5.1.14)  K12940 aminobenzoyl-glutamate utilization protein A"
"abgB","brown","p-aminobenzoyl-glutamate hydrolase  B subunit  K12941 aminobenzoyl-glutamate utilization protein B"
"abgR","brown","predicted DNA-binding transcriptional regulator of abgABT operon  K14057 LysR family transcriptional regulator  regulator of abg operon"
"abgR","brown","predicted DNA-binding transcriptional regulator of abgABT operon  K14057 LysR family transcriptional regulator  regulator of abg operon"
"abgT","brown","p-aminobenzoyl-glutamate transporter  membrane protein  K12942 aminobenzoyl-glutamate transport protein"
"abrB","red","regulator of aidB expression  inner membrane protein  K07120"
"abrB","red","regulator of aidB expression  inner membrane protein  K07120"
"accB","brown","acetyl CoA carboxylase  BCCP subunit  K02160 acetyl-CoA carboxylase biotin carboxyl carrier protein"
"accC","yellow","acetyl-CoA carboxylase  biotin carboxylase subunit (EC:6.3.4.14)  K01961 acetyl-CoA carboxylase  biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
"accD","brown","acetyl-CoA carboxylase  beta (carboxyltransferase) subunit (EC:6.4.1.2)  K01963 acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]"
"aceA","magenta","isocitrate lyase (EC:4.1.3.1)  K01637 isocitrate lyase [EC:4.1.3.1]"
"aceB","magenta","malate synthase A (EC:2.3.3.9)  K01638 malate synthase [EC:2.3.3.9]"
"aceE","brown","pyruvate dehydrogenase  decarboxylase component E1  thiamin-binding (EC:1.2.4.1)  K00163 pyruvate dehydrogenase E1 component [EC:1.2.4.1]"
"aceF","yellow","pyruvate dehydrogenase  dihydrolipoyltransacetylase component E2 (EC:2.3.1.12)  K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
"aceK","magenta","isocitrate dehydrogenase kinase/phosphatase (EC:2.7.11.5)  K00906 isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]"
"acnA","magenta","aconitate hydratase 1 (EC:4.2.1.3)  K01681 aconitate hydratase [EC:4.2.1.3]"
"acnB","turquoise","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase (EC:4.2.1.3 4.2.1.99)  K01682 aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]"
"acpH","blue","conserved protein  K08682 acyl carrier protein phosphodiesterase [EC:3.1.4.14]"
"acpP","brown","acyl carrier protein (ACP)  K02078 acyl carrier protein"
"acpS","blue","holo-[acyl-carrier-protein] synthase 1 (EC:2.7.8.7)  K00997 holo-[acyl-carrier protein] synthase [EC:2.7.8.7]"
"acpT","blue","holo-(acyl carrier protein) synthase 2 (EC:2.7.8.7)  K06133 4'-phosphopantetheinyl transferase [EC:2.7.8.-]"
"acrA","turquoise","multidrug efflux system  K03585 membrane fusion protein"
"acrB","turquoise","multidrug efflux system protein  K03296 hydrophobic/amphiphilic exporter-1 (mainly G- bacteria)  HAE1 family"
"acrD","blue","aminoglycoside/multidrug efflux system  K03296 hydrophobic/amphiphilic exporter-1 (mainly G- bacteria)  HAE1 family"
"acrE","turquoise","cytoplasmic membrane lipoprotein  K03585 membrane fusion protein"
"acrF","turquoise","multidrug efflux system protein  K03296 hydrophobic/amphiphilic exporter-1 (mainly G- bacteria)  HAE1 family"
"actP","turquoise","acetate transporter  K14393 cation/acetate symporter"
"adhP","turquoise","ethanol-active dehydrogenase/acetaldehyde-active reductase (EC:1.1.1.1)  K13953 alcohol dehydrogenase  propanol-preferring [EC:1.1.1.1]"
"adiY","turquoise","DNA-binding transcriptional activator  K03755 AraC family transcriptional regulator  transcriptional activator of adiA"
"adiY","turquoise","DNA-binding transcriptional activator  K03755 AraC family transcriptional regulator  transcriptional activator of adiA"
"aegA","blue","fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit"
"aes","turquoise","acetyl esterase (EC:3.1.1.-)  K01066 esterase / lipase [EC:3.1.1.-]"
"aes","turquoise","acetyl esterase (EC:3.1.1.-)  K01066 esterase / lipase [EC:3.1.1.-]"
"afuB","brown","pseudogene"
"afuC","blue","CP4-6 prophage  predicted ferric transporter subunit  K02010 iron(III) transport system ATP-binding protein [EC:3.6.3.30]"
"agaA","turquoise","pseudogene"
"agaB","turquoise","N-acetylgalactosamine-specific enzyme IIB component of PTS (EC:2.7.1.69)  K10984 PTS system  galactosamine-specific IIB component [EC:2.7.1.69]"
"agaC","blue","N-acetylgalactosamine-specific enzyme IIC component of PTS (EC:2.7.1.69)  K10985 PTS system  galactosamine-specific IIC component"
