eco_id gene gene_description
eco:b4634 aaaD pseudogene
eco:b4693 aaaE pseudogene
eco:b3241 aaeA p-hydroxybenzoic_acid_efflux_system_component;_K15548_p-hydroxybenzoic_acid_efflux_pump_subunit_AaeA
eco:b3240 aaeB p-hydroxybenzoic_acid_efflux_system_component;_K03468_p-hydroxybenzoic_acid_efflux_pump_subunit_AaeB
eco:b3243 aaeR transcriptional_regulator_for_aaeXAB_operon
eco:b3242 aaeX membrane_protein_of_efflux_system
eco:b2836 aas fused_2-acylglycerophospho-ethanolamine_acyl_transferase/acyl-acyl_carrier_protein_synthetase_(EC:2.3.1.40_6.2.1.20);_K05939_acyl-[acyl-carrier-protein]-phospholipid_O-acyltransferase_/_long-chain-fatty-acid--[acyl-carrier-protein]_ligase_[EC:2.3.1.40_6.2.1.20]
eco:b1338 abgA p-aminobenzoyl-glutamate_hydrolase,_A_subunit_(EC:3.5.1.14);_K12940_aminobenzoyl-glutamate_utilization_protein_A
eco:b1337 abgB p-aminobenzoyl-glutamate_hydrolase,_B_subunit;_K12941_aminobenzoyl-glutamate_utilization_protein_B
eco:b1339 abgR predicted_DNA-binding_transcriptional_regulator_of_abgABT_operon;_K14057_LysR_family_transcriptional_regulator,_regulator_of_abg_operon
eco:b1339 abgR predicted_DNA-binding_transcriptional_regulator_of_abgABT_operon;_K14057_LysR_family_transcriptional_regulator,_regulator_of_abg_operon
eco:b1336 abgT p-aminobenzoyl-glutamate_transporter;_membrane_protein;_K12942_aminobenzoyl-glutamate_transport_protein
eco:b0715 abrB regulator_of_aidB_expression;_inner_membrane_protein;_K07120
eco:b0715 abrB regulator_of_aidB_expression;_inner_membrane_protein;_K07120
eco:b3255 accB acetyl_CoA_carboxylase,_BCCP_subunit;_K02160_acetyl-CoA_carboxylase_biotin_carboxyl_carrier_protein
eco:b3256 accC acetyl-CoA_carboxylase,_biotin_carboxylase_subunit_(EC:6.3.4.14);_K01961_acetyl-CoA_carboxylase,_biotin_carboxylase_subunit_[EC:6.4.1.2_6.3.4.14]
eco:b2316 accD acetyl-CoA_carboxylase,_beta_(carboxyltransferase)_subunit_(EC:6.4.1.2);_K01963_acetyl-CoA_carboxylase_carboxyl_transferase_subunit_beta_[EC:6.4.1.2]
eco:b4015 aceA isocitrate_lyase_(EC:4.1.3.1);_K01637_isocitrate_lyase_[EC:4.1.3.1]
eco:b4014 aceB malate_synthase_A_(EC:2.3.3.9);_K01638_malate_synthase_[EC:2.3.3.9]
eco:b0114 aceE pyruvate_dehydrogenase,_decarboxylase_component_E1,_thiamin-binding_(EC:1.2.4.1);_K00163_pyruvate_dehydrogenase_E1_component_[EC:1.2.4.1]
eco:b0115 aceF pyruvate_dehydrogenase,_dihydrolipoyltransacetylase_component_E2_(EC:2.3.1.12);_K00627_pyruvate_dehydrogenase_E2_component_(dihydrolipoamide_acetyltransferase)_[EC:2.3.1.12]
eco:b4016 aceK isocitrate_dehydrogenase_kinase/phosphatase_(EC:2.7.11.5);_K00906_isocitrate_dehydrogenase_kinase/phosphatase_[EC:2.7.11.5_3.1.3.-]
eco:b1276 acnA aconitate_hydratase_1_(EC:4.2.1.3);_K01681_aconitate_hydratase_[EC:4.2.1.3]
eco:b0118 acnB bifunctional_aconitate_hydratase_2/2-methylisocitrate_dehydratase_(EC:4.2.1.3_4.2.1.99);_K01682_aconitate_hydratase_2_/_2-methylisocitrate_dehydratase_[EC:4.2.1.3_4.2.1.99]
eco:b0404 acpH conserved_protein;_K08682_acyl_carrier_protein_phosphodiesterase_[EC:3.1.4.14]
eco:b1094 acpP acyl_carrier_protein_(ACP);_K02078_acyl_carrier_protein
eco:b2563 acpS holo-[acyl-carrier-protein]_synthase_1_(EC:2.7.8.7);_K00997_holo-[acyl-carrier_protein]_synthase_[EC:2.7.8.7]
eco:b3475 acpT holo-(acyl_carrier_protein)_synthase_2_(EC:2.7.8.7);_K06133_4'-phosphopantetheinyl_transferase_[EC:2.7.8.-]
eco:b0463 acrA multidrug_efflux_system;_K03585_membrane_fusion_protein
eco:b0462 acrB multidrug_efflux_system_protein;_K03296_hydrophobic/amphiphilic_exporter-1_(mainly_G-_bacteria),_HAE1_family
