"name","id","desc"
"aaaD","b4634","pseudogene"
"aaaE","b4693","pseudogene"
"aaeA","b3241","p-hydroxybenzoic acid efflux system component; K15548 p-hydroxybenzoic acid efflux pump subunit AaeA"
"aaeB","b3240","p-hydroxybenzoic acid efflux system component; K03468 p-hydroxybenzoic acid efflux pump subunit AaeB"
"aaeR","b3243","transcriptional regulator for aaeXAB operon"
"aaeX","b3242","membrane protein of efflux system"
"aas","b2836","fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase (EC:2.3.1.40 6.2.1.20); K05939 acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]"
"aat","b0885","leucyl/phenylalanyl-tRNA-protein transferase (EC:2.3.2.6); K00684 leucyl/phenylalanyl-tRNA--protein transferase [EC:2.3.2.6]"
"abgA","b1338","p-aminobenzoyl-glutamate hydrolase, A subunit (EC:3.5.1.14); K12940 aminobenzoyl-glutamate utilization protein A"
"abgB","b1337","p-aminobenzoyl-glutamate hydrolase, B subunit; K12941 aminobenzoyl-glutamate utilization protein B"
"abgR","b1339","predicted DNA-binding transcriptional regulator of abgABT operon; K14057 LysR family transcriptional regulator, regulator of abg operon"
"abgT","b1336","p-aminobenzoyl-glutamate transporter; membrane protein; K12942 aminobenzoyl-glutamate transport protein"
"abrB","b0715","regulator of aidB expression; inner membrane protein; K07120"
"accA","b0185","acetyl-CoA carboxylase, carboxytransferase, alpha subunit (EC:6.4.1.2); K01962 acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2]"
"accB","b3255","acetyl CoA carboxylase, BCCP subunit; K02160 acetyl-CoA carboxylase biotin carboxyl carrier protein"
"accC","b3256","acetyl-CoA carboxylase, biotin carboxylase subunit (EC:6.3.4.14); K01961 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
"accD","b2316","acetyl-CoA carboxylase, beta (carboxyltransferase) subunit (EC:6.4.1.2); K01963 acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]"
"aceA","b4015","isocitrate lyase (EC:4.1.3.1); K01637 isocitrate lyase [EC:4.1.3.1]"
"aceB","b4014","malate synthase A (EC:2.3.3.9); K01638 malate synthase [EC:2.3.3.9]"
"aceE","b0114","pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding (EC:1.2.4.1); K00163 pyruvate dehydrogenase E1 component [EC:1.2.4.1]"
"aceF","b0115","pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2 (EC:2.3.1.12); K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
"aceK","b4016","isocitrate dehydrogenase kinase/phosphatase (EC:2.7.11.5); K00906 isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]"
"ackA","b2296","acetate kinase A and propionate kinase 2 (EC:2.7.2.- 2.7.2.1); K00925 acetate kinase [EC:2.7.2.1]"
"acnA","b1276","aconitate hydratase 1 (EC:4.2.1.3); K01681 aconitate hydratase [EC:4.2.1.3]"
"acnB","b0118","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase (EC:4.2.1.3 4.2.1.99); K01682 aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]"
"acpH","b0404","conserved protein; K08682 acyl carrier protein phosphodiesterase [EC:3.1.4.14]"
"acpP","b1094","acyl carrier protein (ACP); K02078 acyl carrier protein"
"acpS","b2563","holo-[acyl-carrier-protein] synthase 1 (EC:2.7.8.7); K00997 holo-[acyl-carrier protein] synthase [EC:2.7.8.7]"
"acpT","b3475","holo-(acyl carrier protein) synthase 2 (EC:2.7.8.7); K06133 4'-phosphopantetheinyl transferase [EC:2.7.8.-]"
"acrA","b0463","multidrug efflux system; K03585 membrane fusion protein"
"acrB","b0462","multidrug efflux system protein; K18138 multidrug efflux pump"
"acrD","b2470","aminoglycoside/multidrug efflux system; K03296 hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family"
"acrE","NA","NA"
"acrF","b3266","multidrug efflux system protein; K18142 multidrug efflux pump"
"acrR","b0464","DNA-binding transcriptional repressor; K03577 TetR/AcrR family transcriptional regulator, acrAB operon repressor"
"acs","NA","NA"
"actP","b4067","acetate transporter; K14393 cation/acetate symporter"
"ada","NA","NA"
"add","NA","NA"
"ade","NA","NA"
"adhE","b1241","fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase (EC:1.1.1.1 1.2.1.10); K04072 acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]"
"adhP","b1478","ethanol-active dehydrogenase/acetaldehyde-active reductase (EC:1.1.1.1); K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
"adiA","NA","NA"
"adiC","b4115","arginine:agmatine antiporter; K03759 arginine:agmatine antiporter"
"adiY","b4116","DNA-binding transcriptional activator; K03755 AraC family transcriptional regulator, transcriptional activator of adiA"
"adk","b0474","adenylate kinase (EC:2.7.4.3); K00939 adenylate kinase [EC:2.7.4.3]"
"adrA","NA","NA"
"adrB","NA","NA"
"aegA","b2468","fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit"
"aer","NA","NA"
"aes","b0476","acetyl esterase (EC:3.1.1.-); K01066 esterase / lipase [EC:3.1.1.-]"
"afuB","b0263","pseudogene"
"afuC","b0262","CP4-6 prophage; predicted ferric transporter subunit; K02010 iron(III) transport system ATP-binding protein [EC:3.6.3.30]"
"agaA","b3135","pseudogene"
"agaB","b3138","N-acetylgalactosamine-specific enzyme IIB component of PTS (EC:2.7.1.69); K10984 PTS system, galactosamine-specific IIB component [EC:2.7.1.69]"
"agaC","b3139","N-acetylgalactosamine-specific enzyme IIC component of PTS (EC:2.7.1.69); K10985 PTS system, galactosamine-specific IIC component"
"agaD","b3140","N-acetylgalactosamine-specific enzyme IID component of PTS (EC:2.7.1.69); K10986 PTS system, galactosamine-specific IID component"
"agaI","b3141","galactosamine-6-phosphate isomerase; K02080 galactosamine-6-phosphate isomerase [EC:5.3.1.-]"
"agaR","b3131","DNA-binding transcriptional repressor of the aga regulon; K02081 DeoR family transcriptional regulator, aga operon transcriptional repressor"
"agaS","b3136","tagatose-6-phosphate ketose/aldose isomerase; K02082 tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]"
"agaV","b3133","N-acetylgalactosamine-specific enzyme IIB component of PTS (EC:2.7.1.69); K02745 PTS system, N-acetylgalactosamine-specific IIB component [EC:2.7.1.69]"
"agaW","b3134","pseudogene"
"agp","b1002","glucose-1-phosphatase/inositol phosphatase (EC:3.1.3.10); K01085 glucose-1-phosphatase [EC:3.1.3.10]"
"ahpC","b0605","alkyl hydroperoxide reductase, C22 subunit (EC:1.11.1.15); K03386 peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
"ahpF","b0606","alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding (EC:1.11.1.15); K03387 alkyl hydroperoxide reductase subunit F [EC:1.6.4.-]"
"aidB","NA","NA"
"ais","b2252","predicted LPS core heptose(II)-phosphate phosphatase"
"alaA","b2290","valine-pyruvate aminotransferase 2; K14260 alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]"
"alaC","b2379","valine-pyruvate aminotransferase 3; K14261 alanine-synthesizing transaminase [EC:2.6.1.-]"
"alaS","b2697","alanyl-tRNA synthetase (EC:6.1.1.7); K01872 alanyl-tRNA synthetase [EC:6.1.1.7]"
"alaW","b2397","tRNA-Ala; K14218 tRNA Ala"
"alaX","b2396","tRNA-Ala; K14218 tRNA Ala"
"aldA","b1415","aldehyde dehydrogenase A, NAD-linked (EC:1.2.1.22); K07248 lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]"
"aldB","b3588","aldehyde dehydrogenase B (EC:1.2.1.22); K00138 aldehyde dehydrogenase [EC:1.2.1.-]"
"alkA","b2068","3-methyl-adenine DNA glycosylase II (EC:3.2.2.21); K01247 DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"
"alkB","b2212","oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions; K03919 alkylated DNA repair protein (DNA oxidative demethylase) [EC:1.14.11.33]"
"allA","b0505","ureidoglycolate hydrolase (EC:3.5.3.19); K01483 ureidoglycolate lyase [EC:4.3.2.3]"
"allB","b0512","allantoinase (EC:3.5.2.5); K01466 allantoinase [EC:3.5.2.5]"
"allC","b0516","allantoate amidohydrolase (EC:3.5.3.4); K02083 allantoate deiminase [EC:3.5.3.9]"
"allD","NA","NA"
"allR","b0506","DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced; K10973 IclR family transcriptional regulator, negative regulator of allantoin and glyoxylate utilization operons"
"allS","b0504","DNA-binding transcriptional activator of the allD operon; K10972 LysR family transcriptional regulator, transcriptional activator of the allD operon"
"alpA","b2624","CP4-57 prophage; DNA-binding transcriptional activator; K07733 prophage regulatory protein"
"alr","b4053","alanine racemase 1, PLP-binding, biosynthetic (EC:5.1.1.1); K01775 alanine racemase [EC:5.1.1.1]"
"alsA","b4087","fused D-allose transporter subunits of ABC superfamily: ATP-binding components; K10551 D-allose transport system ATP-binding protein [EC:3.6.3.17]"
"alsB","b4088","D-allose transporter subunit; K10549 D-allose transport system substrate-binding protein"
"alsC","b4086","D-allose transporter subunit; K10550 D-allose transport system permease protein"
"alsE","b4085","allulose-6-phosphate 3-epimerase; K17195 D-allulose-6-phosphate 3-epimerase [EC:5.1.3.-]"
"alsK","b4084","D-allose kinase (EC:2.7.1.55); K00881 allose kinase [EC:2.7.1.55]"
"alx","b3088","inner membrane protein, part of terminus"
"amiA","b2435","N-acetylmuramoyl-l-alanine amidase I (EC:3.5.1.28); K01448 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"amiB","b4169","N-acetylmuramoyl-l-alanine amidase II (EC:3.5.1.28); K01448 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"amiC","b2817","N-acetylmuramoyl-L-alanine amidase (EC:3.5.1.28); K01448 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"amiD","b0867","1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein; K11066 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"amn","b1982","AMP nucleosidase (EC:3.2.2.4); K01241 AMP nucleosidase [EC:3.2.2.4]"
"ampC","NA","NA"
"ampD","b0110","1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase (EC:3.5.1.28); K03806 AmpD protein"
"ampE","b0111","predicted inner membrane protein; K03807 AmpE protein"
"ampG","b0433","muropeptide transporter; K08218 MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG"
"ampH","b0376","D-alanyl-D-alanine-carboxypeptidase/endopeptidase; penicillin-binding protein; weak beta-lactamase (EC:3.4.17.8 3.5.2.6)"
"amtB","b0451","ammonium transporter; K03320 ammonium transporter, Amt family"
"amyA","b1927","cytoplasmic alpha-amylase (EC:3.2.1.1); K01176 alpha-amylase [EC:3.2.1.1]"
"anmK","b1640","anhydro-N-acetylmuramic acid kinase; K09001 anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]"
"ansA","b1767","cytoplasmic L-asparaginase I (EC:3.5.1.1); K01424 L-asparaginase [EC:3.5.1.1]"
"ansB","b2957","periplasmic L-asparaginase II (EC:3.5.1.1); K01424 L-asparaginase [EC:3.5.1.1]"
"ansP","b1453","L-asparagine transporter; K11738 L-asparagine permease"
"apaG","b0050","protein associated with Co2+ and Mg2+ efflux; K06195 ApaG protein"
"apaH","b0049","diadenosine tetraphosphatase (EC:3.6.1.41); K01525 bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]"
"apbE","b2214","putative flavin transferase, lipoprotein required for thiamine synthesis; K03734 thiamine biosynthesis lipoprotein"
"aphA","b4055","acid phosphatase/phosphotransferase, class B, non-specific (EC:3.1.3.2); K03788 acid phosphatase (class B) [EC:3.1.3.2]"
"appA","b0980","phosphoanhydride phosphorylase (EC:3.1.3.2 3.1.3.26); K01093 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]"
"appB","b0979","cytochrome bd-II oxidase, subunit II (EC:1.10.3.-); K00426 cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.-]"
"appC","b0978","cytochrome bd-II oxidase, subunit I (EC:1.10.3.-); K00425 cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.-]"
"appY","b0564","DNA-binding global transcriptional activator; DLP12 prophage; K07780 AraC family transcriptional regulator, transcriptional regulator required for anaerobic and stationary phase induction of genes"
"apt","NA","NA"
"aqpZ","b0875","aquaporin Z; K06188 aquaporin Z"
"araA","b0062","L-arabinose isomerase (EC:5.3.1.4); K01804 L-arabinose isomerase [EC:5.3.1.4]"
"araB","b0063","L-ribulokinase (EC:2.7.1.16); K00853 L-ribulokinase [EC:2.7.1.16]"
"araC","b0064","DNA-binding transcriptional dual regulator; K02099 AraC family transcriptional regulator, arabinose operon regulatory protein"
"araD","b0061","L-ribulose-5-phosphate 4-epimerase (EC:5.1.3.4); K01786 L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]"
"araE","b2841","arabinose transporter; K02100 MFS transporter, SP family, arabinose:H+ symporter"
"araF","b1901","L-arabinose transporter subunit; K10537 L-arabinose transport system substrate-binding protein"
"araG","b1900","fused L-arabinose transporter subunits of ABC superfamily: ATP-binding components; K10539 L-arabinose transport system ATP-binding protein [EC:3.6.3.17]"
"araH","b4460","fused L-arabinose transporter subunits of ABC superfamily: membrane components; K10538 L-arabinose transport system permease protein"
"araJ","b0396","arabinose-inducible predicted transporter, MFS family; K08156 MFS transporter, DHA1 family, arabinose polymer transporter"
"arcA","b4401","DNA-binding response regulator in two-component regulatory system with ArcB or CpxA; K07773 two-component system, OmpR family, aerobic respiration control protein ArcA"
"arcB","b3210","aerobic respiration control sensor histidine protein kinase, cognate to two-component response regulators ArcA and RssB; K07648 two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]"
"arcZ","b4450","sRNA positive antisense regulator of rpoS; binds Hfq"
"argA","b2818","fused acetylglutamate kinase homolog (inactive)/amino acid N-acetyltransferase (EC:2.3.1.1); K14682 amino-acid N-acetyltransferase [EC:2.3.1.1]"
"argB","b3959","acetylglutamate kinase (EC:2.7.2.8); K00930 acetylglutamate kinase [EC:2.7.2.8]"
"argC","b3958","N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding (EC:1.2.1.38); K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"
"argD","b3359","bifunctional acetylornithine aminotransferase/succinyldiaminopimelate aminotransferase (EC:2.6.1.11 2.6.1.17); K00821 acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]"
"argE","b3957","acetylornithine deacetylase (EC:3.5.1.16); K01438 acetylornithine deacetylase [EC:3.5.1.16]"
"argF","b0273","ornithine carbamoyltransferase 2, chain F; CP4-6 prophage (EC:2.1.3.3); K00611 ornithine carbamoyltransferase [EC:2.1.3.3]"
"argG","b3172","argininosuccinate synthetase (EC:6.3.4.5); K01940 argininosuccinate synthase [EC:6.3.4.5]"
"argH","b3960","argininosuccinate lyase (EC:4.3.2.1); K01755 argininosuccinate lyase [EC:4.3.2.1]"
"argI","b4254","ornithine carbamoyltransferase 1 (EC:2.1.3.3); K00611 ornithine carbamoyltransferase [EC:2.1.3.3]"
"argK","b2918","membrane ATPase/protein kinase; K07588 LAO/AO transport system kinase [EC:2.7.-.-]"
"argO","b2923","arginine transporter; K06895 L-lysine exporter family protein LysE/ArgO"
"argP","b2916","DNA-binding transcriptional activator, replication initiation inhibitor; K05596 LysR family transcriptional regulator, chromosome initiation inhibitor"
"argQ","b2691","tRNA-Arg; K14219 tRNA Arg"
"argR","b3237","DNA-binding transcriptional dual regulator, L-arginine-binding; K03402 transcriptional regulator of arginine metabolism"
"argS","b1876","arginyl-tRNA synthetase (EC:6.1.1.19); K01887 arginyl-tRNA synthetase [EC:6.1.1.19]"
"argT","b2310","lysine/arginine/ornithine transporter subunit; K10013 lysine/arginine/ornithine transport system substrate-binding protein"
"argU","b0536","tRNA-Arg; K14219 tRNA Arg"
"argV","b2694","tRNA-Arg; K14219 tRNA Arg"
"argW","b2348","tRNA-Arg; K14219 tRNA Arg"
"argX","b3796","tRNA-Arg; K14219 tRNA Arg"
"argY","b2693","tRNA-Arg; K14219 tRNA Arg"
"argZ","b2692","tRNA-Arg; K14219 tRNA Arg"
"ariR","b1166","RcsB connector protein for regulation of biofilm and acid-resistance"
"arnA","b2255","fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase (EC:2.1.2.- 4.1.1.35); K10011 UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]"
"arnB","b2253","uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent; K07806 UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]"
"arnC","b2254","undecaprenyl phosphate-L-Ara4FN transferase; K10012 undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"
"arnD","b2256","undecaprenyl phosphate-alpha-L-ara4FN deformylase; K13014 undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.-.-]"
"arnE","b4544","undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit; K12962 undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE"
